	3c	3d	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19
3c	0,284412,0	1606,282806,2268	3113,281299,16152	3365,281047,22629	4536,279876,31438	13555,270857,45652	13712,270700,49052	13714,270698,52928	13729,270683,56222	13584,270828,62124	13707,270705,64470	16093,268319,65410	15960,268452,71605	15916,268496,76345	18043,266369,76112	18478,265934,76742	18532,265880,77403	18890,265522,78365
3d	2268,282806,1606	0,285074,0	2763,282311,15140	3011,282063,21613	4192,280882,30432	13721,271353,45156	13823,271251,48501	13817,271257,52369	13798,271276,55629	13918,271156,61796	14018,271056,64119	16345,268729,65000	16139,268935,71122	16252,268822,76019	18307,266767,75714	18735,266339,76337	18781,266293,76990	19125,265949,77938
4	16152,281299,3113	15140,282311,2763	0,297451,0	733,296718,6958	1982,295469,15845	13187,284264,32245	13243,284208,35544	13227,284224,39402	13210,284241,42664	13499,283952,49000	13599,283852,51323	15890,281561,52168	15647,281804,58253	15818,281633,63208	17978,279473,63008	18417,279034,63642	18484,278967,64316	18843,278608,65279
5	22629,281047,3365	21613,282063,3011	6958,296718,733	0,303676,0	1389,302287,9027	12634,291042,25467	12699,290977,28775	12674,291002,32624	12658,291018,35887	12948,290728,42224	13050,290626,44549	15335,288341,45388	15093,288583,51474	15267,288409,56432	17556,286120,56361	17999,285677,56999	18072,285604,57679	18448,285228,58659
6	31438,279876,4536	30432,280882,4192	15845,295469,1982	9027,302287,1389	0,311314,0	11372,299942,16567	11434,299880,19872	11436,299878,23748	11427,299887,27018	11734,299580,33372	11840,299474,35701	14119,297195,36534	13892,297422,42635	14079,297235,47606	16564,294750,47731	17068,294246,48430	17155,294159,49124	17539,293775,50112
7	45652,270857,13555	45156,271353,13721	32245,284264,13187	25467,291042,12634	16567,299942,11372	0,316509,0	1379,315130,4622	1528,314981,8645	1684,314825,12080	2478,314031,18921	2669,313840,21335	8460,308049,25680	8343,308166,31891	8674,307835,37006	11600,304909,37572	12199,304310,38366	12324,304185,39098	12714,303795,40092
8	49052,270700,13712	48501,271251,13823	35544,284208,13243	28775,290977,12699	19872,299880,11434	4622,315130,1379	0,319752,0	192,319560,4066	357,319395,7510	1181,318571,14381	1385,318367,16808	7198,312554,21175	7103,312649,27408	7456,312296,32545	10507,309245,33236	11135,308617,34059	11272,308480,34803	11680,308072,35815
9	52928,270698,13714	52369,271257,13817	39402,284224,13227	32624,291002,12674	23748,299878,11436	8645,314981,1528	4066,319560,192	0,323626,0	194,323432,3473	1050,322576,10376	1249,322377,12798	7064,316562,17167	6969,316657,23400	7342,316284,28557	10470,313156,29325	11174,312452,30224	11314,312312,30971	11724,311902,31985
10	56222,270683,13729	55629,271276,13798	42664,284241,13210	35887,291018,12658	27018,299887,11427	12080,314825,1684	7510,319395,357	3473,323432,194	0,326905,0	882,326023,6929	1090,325815,9360	6908,319997,13732	6824,320081,19976	7211,319694,25147	10358,316547,25934	11097,315808,26868	11248,315657,27626	11660,315245,28642
11	62124,270828,13584	61796,271156,13918	49000,283952,13499	42224,290728,12948	33372,299580,11734	18921,314031,2478	14381,318571,1181	10376,322576,1050	6929,326023,882	0,332952,0	437,332515,2660	6300,326652,7077	6239,326713,13344	6674,326278,18563	9917,323035,19446	10723,322229,20447	10879,322073,21210	11298,321654,22233
12	64470,270705,13707	64119,271056,14018	51323,283852,13599	44549,290626,13050	35701,299474,11840	21335,313840,2669	16808,318367,1385	12798,322377,1249	9360,325815,1090	2660,332515,437	0,335175,0	5914,329261,4468	6015,329160,10897	6426,328749,16092	9736,325439,17042	10543,324632,18044	10700,324475,18808	11123,324052,19835
13	65410,268319,16093	65000,268729,16345	52168,281561,15890	45388,288341,15335	36534,297195,14119	25680,308049,8460	21175,312554,7198	17167,316562,7064	13732,319997,6908	7077,326652,6300	4468,329261,5914	0,333729,0	307,333422,6635	773,332956,11885	4126,329603,12878	4942,328787,13889	5119,328610,14673	5560,328169,15718
14	71605,268452,15960	71122,268935,16139	58253,281804,15647	51474,288583,15093	42635,297422,13892	31891,308166,8343	27408,312649,7103	23400,316657,6969	19976,320081,6824	13344,326713,6239	10897,329160,6015	6635,333422,307	0,340057,0	578,339479,5362	3936,336121,6360	4766,335291,7385	4962,335095,8188	5443,334614,9273
15	76345,268496,15916	76019,268822,16252	63208,281633,15818	56432,288409,15267	47606,297235,14079	37006,307835,8674	32545,312296,7456	28557,316284,7342	25147,319694,7211	18563,326278,6674	16092,328749,6426	11885,332956,773	5362,339479,578	0,344841,0	3472,341369,1112	4319,340522,2154	4520,340321,2962	5031,339810,4077
16	76112,266369,18043	75714,266767,18307	63008,279473,17978	56361,286120,17556	47731,294750,16564	37572,304909,11600	33236,309245,10507	29325,313156,10470	25934,316547,10358	19446,323035,9917	17042,325439,9736	12878,329603,4126	6360,336121,3936	1112,341369,3472	0,342481,0	893,341588,1088	1110,341371,1912	1656,340825,3062
17	76742,265934,18478	76337,266339,18735	63642,279034,18417	56999,285677,17999	48430,294246,17068	38366,304310,12199	34059,308617,11135	30224,312452,11174	26868,315808,11097	20447,322229,10723	18044,324632,10543	13889,328787,4942	7385,335291,4766	2154,340522,4319	1088,341588,893	0,342676,0	224,342452,831	800,341876,2011
18	77403,265880,18532	76990,266293,18781	64316,278967,18484	57679,285604,18072	49124,294159,17155	39098,304185,12324	34803,308480,11272	30971,312312,11314	27626,315657,11248	21210,322073,10879	18808,324475,10700	14673,328610,5119	8188,335095,4962	2962,340321,4520	1912,341371,1110	831,342452,224	0,343283,0	608,342675,1212
19	78365,265522,18890	77938,265949,19125	65279,278608,18843	58659,285228,18448	50112,293775,17539	40092,303795,12714	35815,308072,11680	31985,311902,11724	28642,315245,11660	22233,321654,11298	19835,324052,11123	15718,328169,5560	9273,334614,5443	4077,339810,5031	3062,340825,1656	2011,341876,800	1212,342675,608	0,343887,0
