,Total cost ($)
Historical total,82343.58183818999844
2016-03-04,166.23136657999999
2016-03-03,3551.2096357399996
2016-03-02,6111.731319369999
2016-03-01,6863.232918070002
2016-02-29,4697.83714515
2016-02-28,6300.7870425
2016-02-27,7025.243882119999
2016-02-26,4052.7154844
2016-02-25,5093.11600674
2016-02-24,10218.841536330001
2016-02-23,14466.07509295
2016-02-22,1567.91700481
2016-02-21,88.69579477999999
2016-02-20,95.31019109999997
2016-02-19,102.95446504000002
2016-02-18,149.68366276
2016-02-17,809.2483151099999
2016-02-16,8811.008790929998
2016-02-15,990.7853338500001
2016-02-14,398.30476872
2016-02-13,553.3570422199999
2016-02-12,229.29503891999997
2016-11-30,0.00
Forecast total,0.00