Service,S3 ($),EC2-ELB ($),CloudTrail ($),EC2-Instances ($),Key Management Service ($),SNS ($),EMR ($),SimpleDB ($),SQS ($),EC2-Other ($),Total cost ($)
Service Total,6001.28884975000009,13.2059812399999996,0.00,40605.1633168599993875,0.00,0.000001070,35259.474999999999105,190.18058333000000730,0.00,274.1601928799999974,82343.47392512999844
2016-03-04,159.74546811,0.6002732199999999,0.0,2.90515146,,0.00000051,,0.42198484,,2.5584884400000005,166.23136657999999
2016-03-03,596.08896317,0.60025602,0.0,1532.4783430699997,,0.000000010,1403.3700000000001,9.03462248,0.0,9.637450989999996,3551.2096357399996
2016-03-02,239.97828159,0.6002371599999999,0.0,3089.44222748,,,2747.19,16.013544030000002,,18.507029109999998,6111.731319369999
2016-03-01,319.44810286,0.6002534599999999,0.0,3412.382807339999,,,3096.42,13.523494320000001,,20.85826009,6863.232918070002
2016-02-29,359.88346904,0.60025946,0.0,2244.33669486,,0.000000020,2063.82,12.67013366,0.0,16.418675049999997,4697.72923209
2016-02-28,400.69907159999997,0.60028629,0.0,3012.010831179999,,,2851.29,15.18814306,,20.99871037,6300.7870425
2016-02-27,465.90407092,0.60026308,0.0,3414.5685946300005,,0.000000010,3104.22,16.15566027,0.0,23.795293209999993,7025.243882119999
2016-02-26,491.4990726500001,0.6002613499999999,0.0,1812.84973904,,,1721.67,10.768920210000001,,15.327491149999998,4052.7154844
2016-02-25,662.69099048,0.6002765999999999,0.0,2299.6192683800004,0.0,0.00000051,2102.94,10.968693409999998,,16.29677736,5093.11600674
2016-02-24,835.08003061,0.60028722,0.0,5008.606594190001,,,4321.469999999999,24.840494240000005,,28.244130070000008,10218.841536330001
2016-02-23,317.84003971000004,0.6002633700000001,0.0,7986.25637209,0.0,,6086.64,34.35569629,,40.38272149,14466.07509295
2016-02-22,100.75863902,0.6002737300000001,0.0,770.2533998599998,0.0,,684.0,3.37687326,,8.92781894,1567.91700481
2016-02-21,82.93752215999999,0.6002903,0.0,3.1495641000000005,0.0,,,0.26280696000000003,,1.74561126,88.69579477999999
2016-02-20,82.9317978,0.60027305,0.0,8.47320393,,,1.365,0.26348033,,1.67643599,95.31019109999997
2016-02-19,82.96194963,0.60028527,0.0,15.53526962,0.0,,1.89,0.26605913999999997,,1.7009013800000004,102.95446504000002
2016-02-18,84.53570833,0.60028204,0.0,27.269069709999997,0.0,,34.440000000000005,0.29794803999999997,,2.5406546400000005,149.68366276
2016-02-17,357.10735006,0.6002478099999999,0.0,209.20287524999998,,,236.88,1.0382771600000003,,4.41956483,809.2483151099999
2016-02-16,197.04037465,0.6002818700000001,0.0,4757.41593517,,,3811.76,19.7833244,,24.408874840000003,8811.008790929998
2016-02-15,60.46983431,0.60028169,0.0,477.19214188,,0.000000010,447.12,0.24001851000000002,0.0,5.163057450000001,990.7853338500001
2016-02-14,46.31186961,0.60027577,0.0,181.71710467,,,166.46,0.24174814000000003,,2.973770530000001,398.30476872
2016-02-13,36.06851740999999,0.60028882,0.0,250.38498151000002,0.0,,261.87,0.23437724999999998,,4.198877230000001,553.3570422199999
2016-02-12,21.30772603,0.6002836599999999,0.0,89.11314743999999,,,114.66,0.23428333,,3.37959846,229.29503891999997