SRP041538	189	189	1
SRP036848	106	106	1
SRP060355	94	94	1
SRP063477	58	58	1
ERP005938	57	57	1
SRP035599	45	45	1
SRP040998	42	42	1
SRP041736	38	696	0.0545977
SRP045638	36	72	0.5
SRP028530	35	39	0.897436
SRP052896	35	35	1
SRP058722	35	35	1
SRP028528	26	26	1
SRP042184	25	25	1
SRP050551	24	24	1
SRP045569	22	22	1
SRP039338	19	19	1
SRP044271	19	19	1
SRP048761	19	19	1
ERP003467	18	18	1
SRP039909	18	18	1
SRP057446	18	18	1
SRP060253	18	18	1
ERP002063	17	17	1
SRP048858	15	15	1
SRP043388	13	16	0.8125
ERP002021	12	12	1
SRP048683	12	12	1
SRP062773	12	12	1
SRP064131	12	12	1
SRP064863	12	12	1
SRP045711	11	17	0.647059
SRP056792	11	11	1
SRP058626	11	11	1
SRP040275	10	10	1
SRP048685	10	10	1
SRP025982	8	1720	0.00465116
SRP033351	8	16	0.5
SRP061880	8	8	1
SRP016110	7	7	1
SRP067934	7	7	1
DRP002435	6	477	0.0125786
ERP001344	6	40	0.15
SRP019980	6	6	1
SRP033291	6	6	1
SRP037778	6	46	0.130435
SRP040110	6	6	1
SRP048630	6	6	1
SRP049593	6	406	0.0147783
SRP063460	6	6	1
SRP063631	6	12	0.5
SRP064149	6	6	1
SRP066394	6	6	1
ERP001942	5	667	0.00749625
ERP008483	5	15	0.333333
SRP010181	5	520	0.00961538
SRP056295	5	525	0.00952381
SRP057196	5	466	0.0107296
SRP065120	5	5	1
ERP000619	4	5	0.8
ERP007185	4	57	0.0701754
ERP012838	4	11	0.363636
SRP026126	4	422	0.00947867
SRP027383	4	274	0.0145985
SRP048759	4	434	0.00921659
SRP048801	4	310	0.0129032
SRP049462	4	4	1
SRP053296	4	34	0.117647
SRP053791	4	4	1
SRP056498	4	4	1
SRP056733	4	156	0.025641
SRP059579	4	8	0.5
SRP067661	4	24	0.166667
ERP005641	3	256	0.0117188
ERP006216	3	35	0.0857143
SRP001371	3	167	0.0179641
SRP006575	3	114	0.0263158
SRP011085	3	39	0.0769231
SRP037553	3	8	0.375
SRP040070	3	134	0.0223881
SRP048674	3	36	0.0833333
SRP049340	3	166	0.0180723
SRP050089	3	3	1
SRP051606	3	29	0.103448
SRP055569	3	643	0.00466563
SRP061397	3	3	1
SRP065848	3	6	0.5
SRP066834	3	734	0.00408719
DRP001797	2	324	0.00617284
ERP003613	2	171	0.0116959
ERP004094	2	40	0.05
ERP004209	2	2	1
ERP006215	2	35	0.0571429
ERP007111	2	134	0.0149254
ERP008608	2	87	0.0229885
ERP009437	2	384	0.00520833
SRP000941	2	345	0.0057971
SRP007461	2	205	0.0097561
SRP012167	2	27	0.0740741
SRP015761	2	2	1
SRP018853	2	80	0.025
SRP020492	2	55	0.0363636
SRP033305	2	2	1
SRP034732	2	47	0.0425532
SRP042186	2	30	0.0666667
SRP043033	2	20	0.1
SRP045785	2	2	1
SRP046271	2	8	0.25
SRP049068	2	29	0.0689655
SRP050223	2	402	0.00497512
SRP056696	2	55	0.0363636
SRP057500	2	290	0.00689655
SRP058667	2	6	0.333333
SRP058856	2	88	0.0227273
SRP059039	2	207	0.00966184
SRP059950	2	12	0.166667
SRP060416	2	648	0.00308642
DRP000987	1	122	0.00819672
DRP001358	1	337	0.00296736
DRP002586	1	255	0.00392157
DRP002860	1	20	0.05
ERP000546	1	48	0.0208333
ERP001908	1	63	0.015873
ERP002232	1	4	0.25
ERP003460	1	12	0.0833333
ERP003917	1	102	0.00980392
ERP003984	1	16	0.0625
ERP004573	1	9	0.111111
ERP006533	1	8	0.125
ERP006538	1	18	0.0555556
ERP006577	1	10	0.1
ERP008967	1	108	0.00925926
ERP010889	1	30	0.0333333
ERP010930	1	49	0.0204082
SRP001313	1	9	0.111111
SRP001540	1	161	0.00621118
SRP001558	1	12	0.0833333
SRP003611	1	53	0.0188679
SRP003754	1	156	0.00641026
SRP004637	1	58	0.0172414
SRP005279	1	36	0.0277778
SRP007584	1	24	0.0416667
SRP007825	1	67	0.0149254
SRP007946	1	34	0.0294118
SRP007947	1	34	0.0294118
SRP009316	1	41	0.0243902
SRP009840	1	20	0.05
SRP009862	1	72	0.0138889
SRP010061	1	9	0.111111
SRP010280	1	31	0.0322581
SRP010679	1	12	0.0833333
SRP011546	1	124	0.00806452
SRP011927	1	4	0.25
SRP013021	1	20	0.05
SRP013825	1	24	0.0416667
SRP014670	1	7	0.142857
SRP014675	1	34	0.0294118
SRP015361	1	8	0.125
SRP015819	1	4	0.25
SRP015909	1	3	0.333333
SRP016059	1	8	0.125
SRP017305	1	4	0.25
SRP017575	1	53	0.0188679
SRP017875	1	19	0.0526316
SRP018008	1	94	0.0106383
SRP018254	1	10	0.1
SRP019272	1	362	0.00276243
SRP020237	1	20	0.05
SRP020491	1	55	0.0181818
SRP021191	1	10	0.1
SRP022025	1	4	0.25
SRP026359	1	20	0.05
SRP026387	1	14	0.0714286
SRP027358	1	136	0.00735294
SRP027538	1	1	1
SRP028155	1	73	0.0136986
SRP028190	1	12	0.0833333
SRP028291	1	78	0.0128205
SRP028301	1	63	0.015873
SRP028705	1	10	0.1
SRP028814	1	5	0.2
SRP029262	1	89	0.011236
SRP029367	1	16	0.0625
SRP029656	1	18	0.0555556
SRP029889	1	25	0.04
SRP030401	1	27	0.037037
SRP031620	1	15	0.0666667
SRP032476	1	14	0.0714286
SRP032743	1	27	0.037037
SRP032775	1	232	0.00431034
SRP032789	1	20	0.05
SRP032833	1	18	0.0555556
SRP032999	1	6	0.166667
SRP033098	1	10	0.1
SRP033135	1	384	0.00260417
SRP033335	1	6	0.166667
SRP033569	1	24	0.0416667
SRP033696	1	6	0.166667
SRP033725	1	62	0.016129
SRP034626	1	14	0.0714286
SRP034737	1	4	0.25
SRP034875	1	33	0.030303
SRP035930	1	6	0.166667
SRP035934	1	7	0.142857
SRP035988	1	179	0.00558659
SRP036595	1	1	1
SRP039077	1	61	0.0163934
SRP039694	1	16	0.0625
SRP040472	1	286	0.0034965
SRP040547	1	201	0.00497512
SRP040586	1	30	0.0333333
SRP041179	1	44	0.0227273
SRP041263	1	2	0.5
SRP041846	1	6	0.166667
SRP042161	1	875	0.00114286
SRP042286	1	55	0.0181818
SRP042620	1	168	0.00595238
SRP043085	1	21	0.047619
SRP043364	1	52	0.0192308
SRP043593	1	10	0.1
SRP044174	1	12	0.0833333
SRP044391	1	10	0.1
SRP044668	1	94	0.0106383
SRP044708	1	22	0.0454545
SRP044854	1	24	0.0416667
SRP045570	1	12	0.0833333
SRP045655	1	1	1
SRP045663	1	18	0.0555556
SRP045859	1	9	0.111111
SRP045999	1	64	0.015625
SRP046293	1	3	0.333333
SRP047192	1	60	0.0166667
SRP047299	1	14	0.0714286
SRP047366	1	2	0.5
SRP047407	1	15	0.0666667
SRP048536	1	4	0.25
SRP049553	1	12	0.0833333
SRP049714	1	7	0.142857
SRP049967	1	4	0.25
SRP050499	1	328	0.00304878
SRP050892	1	303	0.00330033
SRP050992	1	460	0.00217391
SRP051083	1	160	0.00625
SRP051368	1	48	0.0208333
SRP051644	1	25	0.04
SRP051848	1	188	0.00531915
SRP052201	1	9	0.111111
SRP052740	1	169	0.00591716
SRP052998	1	20	0.05
SRP053052	1	2	0.5
SRP053101	1	88	0.0113636
SRP055390	1	52	0.0192308
SRP055514	1	76	0.0131579
SRP056477	1	53	0.0188679
SRP056802	1	24	0.0416667
SRP057118	1	6	0.166667
SRP057244	1	42	0.0238095
SRP057721	1	16	0.0625
SRP057758	1	192	0.00520833
SRP057852	1	32	0.03125
SRP059035	1	201	0.00497512
SRP059057	1	74	0.0135135
SRP059431	1	75	0.0133333
SRP059531	1	14	0.0714286
SRP059732	1	20	0.05
SRP060284	1	6	0.166667
SRP060370	1	12	0.0833333
SRP060598	1	6	0.166667
SRP061329	1	6	0.166667
SRP061380	1	12	0.0833333
SRP061566	1	6	0.166667
SRP061639	1	28	0.0357143
SRP062023	1	1	1
SRP062617	1	6	0.166667
SRP063493	1	66	0.0151515
SRP063496	1	73	0.0136986
SRP063500	1	27	0.037037
SRP063669	1	7	0.142857
SRP064259	1	82	0.0121951
SRP064264	1	32	0.03125
SRP064316	1	6	0.166667
SRP064378	1	23	0.0434783
SRP064561	1	41	0.0243902
SRP064894	1	30	0.0333333
SRP066917	1	11	0.0909091
SRP066956	1	22	0.0454545
